created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2024-10-25T00:00:00+00:00,1,0,0,0,55,29.7,,,,
2024-10-25T00:30:00+00:00,2,0,0,0,59,26.2,,,,
2024-10-25T01:00:00+00:00,3,0,0,0,53,28.2,,,,
2024-10-25T01:30:00+00:00,4,0,0,0,66,27.8,,,,
2024-10-25T02:00:00+00:00,5,0,0,0,54,27,,,,
2024-10-25T02:30:00+00:00,6,0,0,0,70,28.7,,,,
2024-10-25T03:00:00+00:00,7,0,0,0,66,31.6,,,,
2024-10-25T03:30:00+00:00,8,0,0,0,64,28.3,,,,
2024-10-25T04:00:00+00:00,9,0,0,0,66,27.9,,,,
2024-10-25T04:30:00+00:00,10,0,0,0,75,29.2,,,,
2024-10-25T05:00:00+00:00,11,0,0,0,79,31.5,,,,
2024-10-25T05:30:00+00:00,12,0,0,0,71,30,,,,
2024-10-25T06:00:00+00:00,13,103,254,0.35,78,30.2,,,,
2024-10-25T06:30:00+00:00,14,634,8,0.94,76,27.3,,,,
2024-10-25T07:00:00+00:00,15,767,12,2.71,70,25.5,,,,
2024-10-25T07:30:00+00:00,16,1071,302,2.16,81,27.1,,,,
2024-10-25T08:00:00+00:00,17,361,361,2.26,76,25.7,,,,
2024-10-25T08:30:00+00:00,18,1626,255,4.66,80,29,,,,
2024-10-25T09:00:00+00:00,19,2232,240,5.34,50,26.5,,,,
2024-10-25T09:30:00+00:00,20,2594,258,6.76,57,31.3,,,,
2024-10-25T10:00:00+00:00,21,2767,396,7.95,66,26.1,,,,
2024-10-25T10:30:00+00:00,22,851,851,4.49,69,26.8,,,,
2024-10-25T11:00:00+00:00,23,3201,476,9.84,63,30.3,,,,
2024-10-25T11:30:00+00:00,24,3964,237,10.07,74,28.8,,,,
2024-10-25T12:00:00+00:00,25,12,4079,12,55,30.2,,,,
2024-10-25T12:30:00+00:00,26,396,3706,10.75,72,26.3,,,,
2024-10-25T13:00:00+00:00,27,326,3749,9.48,74,26.7,,,,
2024-10-25T13:30:00+00:00,28,398,3257,9.9,75,26.2,,,,
2024-10-25T14:00:00+00:00,29,222,2843,8.92,50,31.7,,,,
2024-10-25T14:30:00+00:00,30,120,2322,7.96,53,27.4,,,,
2024-10-25T15:00:00+00:00,31,319,2166,6.51,51,26.4,,,,
2024-10-25T15:30:00+00:00,32,230,1884,6.13,66,27.4,,,,
2024-10-25T16:00:00+00:00,33,377,1648,4.7,57,26.4,,,,
2024-10-25T16:30:00+00:00,34,216,1114,3.34,75,31.7,,,,
2024-10-25T17:00:00+00:00,35,91,1096,2.48,59,28.1,,,,
2024-10-25T17:30:00+00:00,36,2,377,2.19,53,28.8,,,,
2024-10-25T18:00:00+00:00,37,75,261,1.58,78,30.6,,,,
2024-10-25T18:30:00+00:00,38,0,0,0,62,27.5,,,,
2024-10-25T19:00:00+00:00,39,0,0,0,90,30.2,,,,
2024-10-25T19:30:00+00:00,40,0,0,0,88,27.8,,,,
2024-10-25T20:00:00+00:00,41,0,0,0,77,28.5,,,,
2024-10-25T20:30:00+00:00,42,0,0,0,84,29.6,,,,
2024-10-25T21:00:00+00:00,43,0,0,0,54,25.1,,,,
2024-10-25T21:30:00+00:00,44,0,0,0,51,26.7,,,,
2024-10-25T22:00:00+00:00,45,0,0,0,57,25.7,,,,
2024-10-25T22:30:00+00:00,46,0,0,0,59,26.5,,,,
2024-10-25T23:00:00+00:00,47,0,0,0,61,31.5,,,,
2024-10-25T23:30:00+00:00,48,0,0,0,54,28.9,,,,
2024-10-26T00:00:00+00:00,49,0,0,0,60,26.6,,,,
2024-10-26T00:30:00+00:00,50,0,0,0,67,31.9,,,,
2024-10-26T01:00:00+00:00,51,0,0,0,55,25.6,,,,
2024-10-26T01:30:00+00:00,52,0,0,0,75,26.2,,,,
2024-10-26T02:00:00+00:00,53,0,0,0,68,31.2,,,,
2024-10-26T02:30:00+00:00,54,0,0,0,56,25.4,,,,
2024-10-26T03:00:00+00:00,55,0,0,0,69,26.4,,,,
2024-10-26T03:30:00+00:00,56,0,0,0,56,27.6,,,,
2024-10-26T04:00:00+00:00,57,0,0,0,50,28.6,,,,
2024-10-26T04:30:00+00:00,58,0,0,0,68,27.9,,,,
2024-10-26T05:00:00+00:00,59,0,0,0,89,27.6,,,,
2024-10-26T05:30:00+00:00,60,0,0,0,87,27.4,,,,
2024-10-26T06:00:00+00:00,61,0,285,0,77,26.4,,,,
2024-10-26T06:30:00+00:00,62,389,194,0.96,81,30.5,,,,
2024-10-26T07:00:00+00:00,63,813,135,2.03,74,26.1,,,,
2024-10-26T07:30:00+00:00,64,815,422,2.85,78,30.4,,,,
2024-10-26T08:00:00+00:00,65,1306,425,3.52,86,28.8,,,,
2024-10-26T08:30:00+00:00,66,1819,348,4.45,62,30.3,,,,
2024-10-26T09:00:00+00:00,67,1861,265,5.67,64,26.9,,,,
2024-10-26T09:30:00+00:00,68,2219,21,6.86,59,30.4,,,,
2024-10-26T10:00:00+00:00,69,2515,296,8.83,72,27.4,,,,
2024-10-26T10:30:00+00:00,70,3221,483,9.93,61,28.3,,,,
2024-10-26T11:00:00+00:00,71,3458,348,9.11,71,25.6,,,,
2024-10-26T11:30:00+00:00,72,3513,223,11.54,64,27.8,,,,
2024-10-26T12:00:00+00:00,73,271,4095,12,68,28.4,,,,
2024-10-26T12:30:00+00:00,74,305,3760,11.14,59,30.2,,,,
2024-10-26T13:00:00+00:00,75,77,77,5.39,68,29.6,,,,
2024-10-26T13:30:00+00:00,76,272,3100,9.6,70,25.7,,,,
2024-10-26T14:00:00+00:00,77,301,2624,7.8,52,30.3,,,,
2024-10-26T14:30:00+00:00,78,468,2333,7.74,70,29,,,,
2024-10-26T15:00:00+00:00,79,436,1975,5.69,59,28.1,,,,
2024-10-26T15:30:00+00:00,80,47,1884,6.04,53,25.5,,,,
2024-10-26T16:00:00+00:00,81,98,98,1.96,65,31.7,,,,
2024-10-26T16:30:00+00:00,82,140,140,1.69,61,28.9,,,,
2024-10-26T17:00:00+00:00,83,377,1087,3.54,66,28,,,,
2024-10-26T17:30:00+00:00,84,454,356,1.43,56,28.8,,,,
2024-10-26T18:00:00+00:00,85,63,63,0.14,70,25.2,,,,
2024-10-26T18:30:00+00:00,86,0,0,0,81,25.4,,,,
2024-10-26T19:00:00+00:00,87,0,0,0,67,31.6,,,,
2024-10-26T19:30:00+00:00,88,0,0,0,61,31.4,,,,
2024-10-26T20:00:00+00:00,89,0,0,0,75,25.1,,,,
2024-10-26T20:30:00+00:00,90,0,0,0,69,29.8,,,,
2024-10-26T21:00:00+00:00,91,0,0,0,59,30,,,,
2024-10-26T21:30:00+00:00,92,0,0,0,65,26.4,,,,
2024-10-26T22:00:00+00:00,93,0,0,0,66,25.2,,,,
2024-10-26T22:30:00+00:00,94,0,0,0,68,26,,,,
2024-10-26T23:00:00+00:00,95,0,0,0,75,29.2,,,,
2024-10-26T23:30:00+00:00,96,0,0,0,57,30.7,,,,
2024-10-27T00:00:00+00:00,97,0,0,0,52,26,,,,
2024-10-27T00:30:00+00:00,98,0,0,0,55,26.8,,,,
2024-10-27T01:00:00+00:00,99,0,0,0,66,31.4,,,,
2024-10-27T01:30:00+00:00,100,0,0,0,60,30.2,,,,
2024-10-27T02:00:00+00:00,101,0,0,0,62,28.1,,,,
2024-10-27T02:30:00+00:00,102,0,0,0,71,28.9,,,,
2024-10-27T03:00:00+00:00,103,0,0,0,73,29.1,,,,
2024-10-27T03:30:00+00:00,104,0,0,0,66,28.8,,,,
2024-10-27T04:00:00+00:00,105,0,0,0,70,27.4,,,,
2024-10-27T04:30:00+00:00,106,0,0,0,75,30.8,,,,
2024-10-27T05:00:00+00:00,107,0,0,0,62,30.1,,,,
2024-10-27T05:30:00+00:00,108,0,0,0,74,26.5,,,,
2024-10-27T06:00:00+00:00,109,0,140,0,61,27.6,,,,
2024-10-27T06:30:00+00:00,110,595,295,0.31,76,25.1,,,,
2024-10-27T07:00:00+00:00,111,553,446,1.97,71,31,,,,
2024-10-27T07:30:00+00:00,112,732,166,3.01,87,26.4,,,,
2024-10-27T08:00:00+00:00,113,1484,498,4.15,90,28.9,,,,
2024-10-27T08:30:00+00:00,114,1520,487,5.8,77,31.9,,,,
2024-10-27T09:00:00+00:00,115,2121,53,6.34,53,25.4,,,,
2024-10-27T09:30:00+00:00,116,2433,59,7.46,73,25.7,,,,
2024-10-27T10:00:00+00:00,117,739,739,3.77,52,30.5,,,,
2024-10-27T10:30:00+00:00,118,3148,112,9.86,60,29,,,,
2024-10-27T11:00:00+00:00,119,3421,259,10.36,74,31.6,,,,
2024-10-27T11:30:00+00:00,120,3846,370,11.69,65,27.6,,,,
2024-10-27T12:00:00+00:00,121,118,118,5.71,71,29.5,,,,
2024-10-27T12:30:00+00:00,122,482,3644,11.76,62,28,,,,
2024-10-27T13:00:00+00:00,123,209,3386,9.43,58,31.4,,,,
2024-10-27T13:30:00+00:00,124,261,3119,10.21,54,26.4,,,,
2024-10-27T14:00:00+00:00,125,152,2792,8.73,62,30.1,,,,
2024-10-27T14:30:00+00:00,126,209,2363,6.81,70,28.5,,,,
2024-10-27T15:00:00+00:00,127,32,2303,5.63,58,25.9,,,,
2024-10-27T15:30:00+00:00,128,359,1990,5.25,73,27.7,,,,
2024-10-27T16:00:00+00:00,129,302,1637,4.39,60,27.8,,,,
2024-10-27T16:30:00+00:00,130,486,1034,4.57,66,28,,,,
2024-10-27T17:00:00+00:00,131,270,737,3.34,57,25,,,,
2024-10-27T17:30:00+00:00,132,434,850,1.53,65,27.7,,,,
2024-10-27T18:00:00+00:00,133,356,29,0.91,87,26.4,,,,
2024-10-27T18:30:00+00:00,134,0,0,0,68,30.7,,,,
2024-10-27T19:00:00+00:00,135,0,0,0,88,28.2,,,,
2024-10-27T19:30:00+00:00,136,0,0,0,90,29.4,,,,
2024-10-27T20:00:00+00:00,137,0,0,0,69,31.5,,,,
2024-10-27T20:30:00+00:00,138,0,0,0,90,29.8,,,,
2024-10-27T21:00:00+00:00,139,0,0,0,66,26.1,,,,
2024-10-27T21:30:00+00:00,140,0,0,0,73,32,,,,
2024-10-27T22:00:00+00:00,141,0,0,0,72,30.2,,,,
2024-10-27T22:30:00+00:00,142,0,0,0,67,29.3,,,,
2024-10-27T23:00:00+00:00,143,0,0,0,54,31.9,,,,
2024-10-27T23:30:00+00:00,144,0,0,0,52,26.4,,,,
2024-10-28T00:00:00+00:00,145,0,0,0,60,26.8,,,,
2024-10-28T00:30:00+00:00,146,0,0,0,68,29.1,,,,
2024-10-28T01:00:00+00:00,147,0,0,0,66,29.3,,,,
2024-10-28T01:30:00+00:00,148,0,0,0,55,28.4,,,,
2024-10-28T02:00:00+00:00,149,0,0,0,70,28.2,,,,
2024-10-28T02:30:00+00:00,150,0,0,0,71,27.5,,,,
2024-10-28T03:00:00+00:00,151,0,0,0,68,28.7,,,,
2024-10-28T03:30:00+00:00,152,0,0,0,72,25.9,,,,
2024-10-28T04:00:00+00:00,153,0,0,0,72,31.8,,,,
2024-10-28T04:30:00+00:00,154,0,0,0,71,30.2,,,,
2024-10-28T05:00:00+00:00,155,0,0,0,72,29.8,,,,
2024-10-28T05:30:00+00:00,156,0,0,0,76,30.5,,,,
2024-10-28T06:00:00+00:00,157,0,280,0,68,27.9,,,,
2024-10-28T06:30:00+00:00,158,377,474,1.87,64,26.9,,,,
2024-10-28T07:00:00+00:00,159,863,267,2.18,68,30.1,,,,
2024-10-28T07:30:00+00:00,160,1240,251,3.11,75,30.3,,,,
2024-10-28T08:00:00+00:00,161,1137,263,3.97,79,27.8,,,,
2024-10-28T08:30:00+00:00,162,1937,97,4.82,68,31.7,,,,
2024-10-28T09:00:00+00:00,163,1781,24,6.41,51,26.6,,,,
2024-10-28T09:30:00+00:00,164,2600,60,7.15,66,28.1,,,,
2024-10-28T10:00:00+00:00,165,2466,373,8.9,75,25.1,,,,
2024-10-28T10:30:00+00:00,166,3240,459,8.41,53,29.8,,,,
2024-10-28T11:00:00+00:00,167,3553,410,10.83,60,31.5,,,,
2024-10-28T11:30:00+00:00,168,3775,316,10.4,60,29.7,,,,
2024-10-28T12:00:00+00:00,169,392,4095,11.4,56,29,,,,
2024-10-28T12:30:00+00:00,170,12,3663,10.76,56,29.5,,,,
2024-10-28T13:00:00+00:00,171,290,3705,9.75,57,28.1,,,,
2024-10-28T13:30:00+00:00,172,115,3217,9.02,64,25.2,,,,
2024-10-28T14:00:00+00:00,173,409,2825,8.76,50,28.7,,,,
2024-10-28T14:30:00+00:00,174,45,45,3.85,54,30.9,,,,
2024-10-28T15:00:00+00:00,175,463,1948,6.12,57,30.3,,,,
2024-10-28T15:30:00+00:00,176,38,2021,6.24,66,25.1,,,,
2024-10-28T16:00:00+00:00,177,492,1287,4.8,59,25.8,,,,
2024-10-28T16:30:00+00:00,178,142,1265,4.62,60,25.5,,,,
2024-10-28T17:00:00+00:00,179,461,942,2.34,65,31.2,,,,
2024-10-28T17:30:00+00:00,180,33,901,2.02,70,26.2,,,,
2024-10-28T18:00:00+00:00,181,16,411,1.82,60,31.7,,,,
2024-10-28T18:30:00+00:00,182,0,0,0,74,26.3,,,,
2024-10-28T19:00:00+00:00,183,0,0,0,82,30.7,,,,
2024-10-28T19:30:00+00:00,184,0,0,0,74,26.6,,,,
2024-10-28T20:00:00+00:00,185,0,0,0,80,28.8,,,,
2024-10-28T20:30:00+00:00,186,0,0,0,88,30.7,,,,
2024-10-28T21:00:00+00:00,187,0,0,0,50,28.9,,,,
2024-10-28T21:30:00+00:00,188,0,0,0,64,27.7,,,,
2024-10-28T22:00:00+00:00,189,0,0,0,52,27.6,,,,
2024-10-28T22:30:00+00:00,190,0,0,0,64,31.4,,,,
2024-10-28T23:00:00+00:00,191,0,0,0,62,27.4,,,,
2024-10-28T23:30:00+00:00,192,0,0,0,66,25.9,,,,
2024-10-29T00:00:00+00:00,193,0,0,0,64,26.4,,,,
2024-10-29T00:30:00+00:00,194,0,0,0,75,29.3,,,,
2024-10-29T01:00:00+00:00,195,0,0,0,68,28.6,,,,
2024-10-29T01:30:00+00:00,196,0,0,0,71,26.2,,,,
2024-10-29T02:00:00+00:00,197,0,0,0,59,26.5,,,,
2024-10-29T02:30:00+00:00,198,0,0,0,51,30.7,,,,
2024-10-29T03:00:00+00:00,199,0,0,0,54,26.4,,,,
2024-10-29T03:30:00+00:00,200,0,0,0,64,29.8,,,,
2024-10-29T04:00:00+00:00,201,0,0,0,72,31.1,,,,
2024-10-29T04:30:00+00:00,202,0,0,0,60,29.2,,,,
2024-10-29T05:00:00+00:00,203,0,0,0,62,27.8,,,,
2024-10-29T05:30:00+00:00,204,0,0,0,75,25.4,,,,
2024-10-29T06:00:00+00:00,205,134,214,0.41,73,25.9,,,,
2024-10-29T06:30:00+00:00,206,465,472,0.24,63,27.8,,,,
2024-10-29T07:00:00+00:00,207,632,272,2.87,86,30.8,,,,
2024-10-29T07:30:00+00:00,208,1060,462,2.98,77,26.4,,,,
2024-10-29T08:00:00+00:00,209,1378,468,3.83,78,30.5,,,,
2024-10-29T08:30:00+00:00,210,1850,32,5.08,72,31.3,,,,
2024-10-29T09:00:00+00:00,211,1759,225,6.57,60,32,,,,
2024-10-29T09:30:00+00:00,212,2314,492,6.25,56,31.5,,,,
2024-10-29T10:00:00+00:00,213,2737,51,8.92,67,31.3,,,,
2024-10-29T10:30:00+00:00,214,3341,448,8.05,53,28.1,,,,
2024-10-29T11:00:00+00:00,215,3605,362,9.84,61,26.5,,,,
2024-10-29T11:30:00+00:00,216,3615,131,10.35,58,26.5,,,,
2024-10-29T12:00:00+00:00,217,233,4095,11.46,59,26.4,,,,
2024-10-29T12:30:00+00:00,218,168,3791,11.06,54,29.2,,,,
2024-10-29T13:00:00+00:00,219,151,3498,9.77,56,27.6,,,,
2024-10-29T13:30:00+00:00,220,60,3113,9.56,66,26.4,,,,
2024-10-29T14:00:00+00:00,221,135,2766,8.99,67,29.4,,,,
2024-10-29T14:30:00+00:00,222,421,2304,6.8,51,26.3,,,,
2024-10-29T15:00:00+00:00,223,367,2380,6.53,69,29.3,,,,
2024-10-29T15:30:00+00:00,224,40,1968,4.8,63,30.4,,,,
2024-10-29T16:00:00+00:00,225,35,1395,3.65,51,27.5,,,,
2024-10-29T16:30:00+00:00,226,136,1148,4.62,64,29.1,,,,
2024-10-29T17:00:00+00:00,227,63,63,0.98,75,28.3,,,,
2024-10-29T17:30:00+00:00,228,102,801,1.73,60,31.4,,,,
2024-10-29T18:00:00+00:00,229,61,28,1.36,67,25.7,,,,
2024-10-29T18:30:00+00:00,230,0,0,0,72,28.7,,,,
2024-10-29T19:00:00+00:00,231,0,0,0,77,29.2,,,,
2024-10-29T19:30:00+00:00,232,0,0,0,68,28.6,,,,
2024-10-29T20:00:00+00:00,233,0,0,0,63,26.5,,,,
